,tmdb_id,genre1,genre2,genre3
314,392044.0,Mystery,Crime,Drama
315,160588.0,Drama,,
316,160588.0,Drama,,
317,94196.0,Family,Animation,
318,88794.0,Drama,Crime,History
319,589982.0,Adventure,Family,
320,498248.0,Adventure,Family,Drama
321,335988.0,Action,Adventure,Science Fiction
322,87101.0,Science Fiction,Action,Thriller
323,44269.0,Comedy,,
324,75780.0,Crime,Drama,Thriller
325,127585.0,Action,Adventure,Fantasy
326,348350.0,Science Fiction,Adventure,Action
327,222297.0,Documentary,,
328,44264.0,Drama,Adventure,Western
329,62580.0,Drama,Romance,
330,173185.0,Comedy,,
331,398920.0,Comedy,,
332,273169.0,Comedy,,
333,198916.0,Animation,Family,Fantasy
334,72105.0,Comedy,Fantasy,
335,68734.0,Drama,Thriller,
336,382593.0,Comedy,,
337,399055.0,Drama,Fantasy,Romance
338,75612.0,Action,Science Fiction,Adventure
339,37786.0,Comedy,Drama,Romance
340,377799.0,Drama,Comedy,
341,274870.0,Drama,Romance,Science Fiction
342,450465.0,Thriller,Drama,Science Fiction
343,44826.0,Adventure,Drama,Family
344,434616.0,Drama,Comedy,
345,39451.0,Comedy,Romance,
346,82700.0,Science Fiction,Action,Adventure
347,61672.0,Animation,Comedy,Drama
348,338970.0,Action,Adventure,Fantasy
349,589976.0,Comedy,,
350,44896.0,Animation,Comedy,Family
351,332794.0,Adventure,Drama,
352,137113.0,Action,Science Fiction,
353,52043.0,Comedy,Drama,
354,225574.0,Action,Thriller,Mystery
355,392142.0,War,Comedy,
356,335984.0,Science Fiction,Drama,
357,20526.0,Adventure,Action,Science Fiction
358,56415.0,Crime,Drama,
359,51071.0,Thriller,,
360,121875.0,Comedy,Drama,Mystery
361,265177.0,Drama,,
362,227783.0,Animation,Comedy,Family
363,32856.0,Comedy,Romance,
364,265228.0,Drama,,
365,34544.0,Thriller,Action,Adventure
366,363676.0,Drama,History,
367,156236.0,Drama,Comedy,
368,136403.0,Comedy,Romance,
369,138843.0,Horror,Thriller,
370,146233.0,Drama,Thriller,Crime
371,254128.0,Action,Drama,Thriller
372,419430.0,Mystery,Thriller,Horror
373,214756.0,Comedy,,
374,359724.0,Drama,Action,History
375,421447.0,Comedy,Romance,Adventure
376,431693.0,Animation,Action,Adventure
377,37645.0,Drama,Crime,Thriller
378,136294.0,Comedy,Romance,
379,424783.0,Action,Adventure,Science Fiction
380,452187.0,Drama,Comedy,
381,44155.0,Comedy,,
382,169020.0,Comedy,,
383,39254.0,Action,Science Fiction,Drama
384,39254.0,Action,Science Fiction,Drama
385,170689.0,Drama,Thriller,
386,384371.0,Comedy,,
387,23168.0,Crime,Drama,Thriller
388,139649.0,Fantasy,Animation,Family
389,11439.0,Thriller,Mystery,
390,287947.0,Action,Comedy,Fantasy
391,41446.0,Horror,Mystery,
392,352157.0,Drama,,
393,44833.0,Thriller,Action,Adventure
394,126125.0,Not found,,
395,271110.0,Adventure,Action,Science Fiction
396,229297.0,Comedy,Drama,Romance
397,202575.0,Family,Fantasy,Animation
398,103327.0,Comedy,,
399,175112.0,Animation,Family,
400,53010.0,Comedy,Romance,
401,52259.0,Drama,Romance,
402,419704.0,Science Fiction,Drama,
403,222935.0,Romance,Drama,
404,159121.0,Crime,Comedy,
405,528773.0,Comedy,,
406,430365.0,Comedy,,
407,58043.0,Drama,Comedy,
408,49529.0,Action,Adventure,Science Fiction
409,76726.0,Science Fiction,Drama,Thriller
410,68726.0,Action,Science Fiction,Adventure
411,123229.0,Comedy,,
412,463858.0,Comedy,Drama,
413,484751.0,Drama,,
414,332210.0,Adventure,Animation,Comedy
415,48138.0,Action,Mystery,Thriller
