,tmdb_id,budget,imdb_id,original_language,original_title,tmdb_popularity,runtime,tagline,title,tmdb_vote_count,tmdb_vote_average,cast1,cast1_popularity,cast2,cast2_popularity,cast3,cast3_popularity
71,869065.0,0.0,,fr,"Et 10, 11, 12... Pougne Le hérisson",0.6,50.0,,"Et 10, 11, 12... Pougne Le hérisson",1.0,7.0,Yury Kovalenko,0.6,Dorothée Pousséo,2.894,Christian Taponard,0.6
72,82684.0,0.0,tt1629757,en,Chasing Mavericks,13.29,112.0,Les légendes commencent quelque part,Chasing Mavericks,459.0,7.0,Gerard Butler,20.591,Jonny Weston,6.097,Elisabeth Shue,30.657
73,63849.0,0.0,tt1630027,de,Almanya - Willkommen in Deutschland,8.3,101.0,,Almanya,152.0,6.6,Denis Moschitto,2.79,Fahri Yardım,1.737,Arnd Schimkat,0.969
74,534667.0,0.0,tt2231167,fr,De mémoires d'ouvriers,0.6,,,De mémoires d'ouvriers,0.0,0.0,,,,,,
75,774457.0,0.0,tt13617248,en,Godzilla: Heritage,4.473,25.0,,Godzilla: Heritage,1.0,9.0,Chris Barbis,0.6,Azumi Tsutsui,1.388,,
76,50363.0,0.0,tt0048673,en,Summertime,9.451,100.0,,Vacances à Venise,92.0,6.9,Katharine Hepburn,5.843,Rossano Brazzi,4.512,Isa Miranda,4.87
77,85542.0,0.0,tt1836987,en,Trishna,5.051,108.0,,Trishna,40.0,6.0,Freida Pinto,8.625,Riz Ahmed,8.645,Mita Vasisht,1.804
78,126328.0,0.0,tt2369023,fr,La Pirogue,0.84,87.0,,La Pirogue,12.0,5.8,Souleymane Seye Ndiaye,1.0,Laïty Fall,0.6,Malamine Drame,0.6
79,139159.0,0.0,tt2194497,fr,À moi seule,1.454,91.0,,À moi seule,8.0,5.8,Agathe Bonitzer,7.051,Reda Kateb,3.294,Hélène Fillières,1.62
80,134781.0,0.0,tt1688064,fr,Bye Bye Blondie,3.47,97.0,,Bye Bye Blondie,47.0,5.8,Emmanuelle Béart,20.009,Béatrice Dalle,14.328,Camille Chamoux,1.711
81,133250.0,0.0,tt2215215,de,Kuma,1.102,93.0,,Une Seconde Femme,12.0,6.9,Nihal G. Koldaş,2.455,Begüm Akkaya,1.467,Vedat Erincin,0.84
82,136420.0,0.0,tt2399501,fr,Au Galop,1.44,93.0,,Au Galop,7.0,5.9,Louis-Do de Lencquesaing,1.997,Marthe Keller,3.553,Valentina Cervi,3.385
83,80079.0,0.0,tt2411128,ja,チベット犬物語 ～金色のドージェ～,9.2,95.0,,Le Chien du Tibet,11.0,7.0,Tatsuomi Hamada,2.317,Hiroshi Iwasaki,1.286,Norio Wakamoto,3.12
84,63946.0,0.0,tt1723120,fr,Viva Riva!,1.977,96.0,,Viva Riva!,15.0,5.2,Patsha Bay,0.6,Manie Malone,0.6,Hoji Fortuna,0.98
85,146607.0,0.0,tt2397487,fr,L'air de rien,0.622,91.0,,L'air de rien,9.0,6.3,Michel Delpech,1.556,Grégory Montel,2.888,Frédéric Scotlande,0.6
86,122198.0,4800000.0,tt1928329,pt,Linhas de Wellington,5.515,145.0,,Les Lignes de Wellington,25.0,5.6,Nuno Lopes,6.808,Soraia Chaves,2.552,Marisa Paredes,4.147
87,94904.0,3800000.0,tt1797348,es,7 días en La Habana,7.19,129.0,,7 jours à la Havane,77.0,5.9,Josh Hutcherson,8.439,Daniel Brühl,14.175,Emir Kusturica,6.65
88,58699.0,17000.0,tt1242599,en,Bellflower,7.738,106.0,,Bellflower,115.0,6.0,Evan Glodell,1.38,Jessie Wiseman,0.84,Tyler Dawson,0.6
89,,,,,,,,,,,,,,,,,
90,125342.0,0.0,tt1825811,fr,Ici-bas,1.549,100.0,,Ici-bas,8.0,5.1,Céline Sallette,6.001,Éric Caravaca,3.43,François Loriquet,0.6
91,,,,,,,,,,,,,,,,,
